feature,importance,in_primary_517,spearman_rho_vs_volume,abs_rho_vs_volume,importance_rank
log-sigma-3-0-mm-3D_glcm_Imc2,4.314790387825903,True,-0.4804098393551581,0.4804098393551581,1
original_shape_Flatness,3.555861898259201,True,0.21755024415183044,0.21755024415183044,2
lbp-3D-m2_firstorder_Variance,3.4566597404778046,True,0.29048911408456507,0.29048911408456507,3
log-sigma-4-0-mm-3D_firstorder_Minimum,3.3362923683811014,True,0.0488744192999673,0.0488744192999673,4
wavelet-LLL_glcm_SumEntropy,2.8056355956415238,True,0.21730580138840822,0.21730580138840822,5
lbp-3D-m2_glcm_DifferenceVariance,2.331368351748674,True,0.32363710771686555,0.32363710771686555,6
wavelet-LLL_glcm_Correlation,2.2216053708356407,True,-0.06371728048007821,0.06371728048007821,7
log-sigma-5-0-mm-3D_glcm_Correlation,1.968961971802148,True,-0.09267507355089427,0.09267507355089427,8
lbp-3D-m1_glrlm_RunEntropy,1.9588436960673874,True,0.3689216953510807,0.3689216953510807,9
exponential_gldm_SmallDependenceLowGrayLevelEmphasis,1.734627144750165,True,-0.6698526690651033,0.6698526690651033,10
lbp-3D-k_gldm_DependenceNonUniformityNormalized,1.6048190390063684,True,-0.26656203802925843,0.26656203802925843,11
square_glcm_Correlation,1.5102533617338438,True,0.0974176038982285,0.0974176038982285,12
square_gldm_LowGrayLevelEmphasis,1.475625210905969,True,-0.2356319059594974,0.2356319059594974,13
logarithm_glcm_ClusterProminence,1.469893403829523,True,-0.2021167802686557,0.2021167802686557,14
lbp-3D-m2_glcm_ClusterShade,1.4375075534782698,True,-0.11904504152462266,0.11904504152462266,15
logarithm_gldm_LargeDependenceHighGrayLevelEmphasis,1.428038927269071,True,-0.16347641905389979,0.16347641905389979,16
lbp-3D-m1_glcm_DifferenceVariance,1.4201766382488645,True,0.09036408522239422,0.09036408522239422,17
logarithm_firstorder_TotalEnergy,1.408871396566541,True,0.25913325280025246,0.25913325280025246,18
wavelet-LLL_glcm_Imc2,1.2589311934308223,True,-0.470329664792262,0.470329664792262,19
log-sigma-4-0-mm-3D_glcm_Imc1,1.2073115455437688,True,0.4786003102266184,0.4786003102266184,20
lbp-3D-k_gldm_LargeDependenceHighGrayLevelEmphasis,1.1842071297691596,True,0.39146773098172827,0.39146773098172827,21
lbp-3D-k_glszm_LargeAreaHighGrayLevelEmphasis,1.1744616969252788,True,0.6969959419310285,0.6969959419310285,22
original_firstorder_Kurtosis,1.1287397767637146,True,0.12496976109601915,0.12496976109601915,23
log-sigma-5-0-mm-3D_glcm_MCC,1.120710507801385,True,-0.1909772497501728,0.1909772497501728,24
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,1.1190988210038428,True,0.2775324238496592,0.2775324238496592,25
logarithm_glcm_Correlation,1.0931631575208316,True,-0.04535892587717991,0.04535892587717991,26
log-sigma-3-0-mm-3D_glcm_MCC,1.0738408341861996,True,-0.26492707659522136,0.26492707659522136,27
wavelet-LLL_glcm_ClusterShade,1.0545823109380181,True,-0.09564020482370111,0.09564020482370111,28
lbp-3D-k_gldm_LargeDependenceLowGrayLevelEmphasis,1.0340115991567285,True,0.16193268873663222,0.16193268873663222,29
original_shape_Sphericity,1.0301130219656107,True,0.1539640514126549,0.1539640514126549,30
wavelet-HLH_glcm_Imc2,0.9854401305055477,True,-0.5444488762909866,0.5444488762909866,31
wavelet-LLH_firstorder_Skewness,0.9798723664988728,True,-0.07554637138851542,0.07554637138851542,32
lbp-3D-k_glrlm_RunLengthNonUniformity,0.9629203688322844,True,0.4873645443174581,0.4873645443174581,33
squareroot_glszm_GrayLevelNonUniformity,0.8974641844762937,True,0.6145158348157136,0.6145158348157136,34
exponential_gldm_DependenceVariance,0.8607550094853983,True,0.5076566770553749,0.5076566770553749,35
original_shape_MajorAxisLength,0.8312871808392327,True,0.6520869087966975,0.6520869087966975,36
lbp-3D-m2_glcm_JointEntropy,0.8288032261357352,True,0.39838301123996406,0.39838301123996406,37
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.8025052381115328,True,-0.002978304834907432,0.002978304834907432,38
log-sigma-3-0-mm-3D_glcm_InverseVariance,0.8023824415285749,True,0.27624573396448926,0.27624573396448926,39
lbp-3D-k_glrlm_RunEntropy,0.765883748319911,True,0.5961922046706397,0.5961922046706397,40
original_glcm_Imc2,0.6749384141915475,True,-0.4351002723436264,0.4351002723436264,41
lbp-3D-k_firstorder_Median,0.6663332542057928,True,0.25439247412875315,0.25439247412875315,42
gradient_glszm_SizeZoneNonUniformity,0.6655601442746106,True,0.42475283524033614,0.42475283524033614,43
original_shape_SurfaceArea,0.6603189621583317,True,0.8156206052508417,0.8156206052508417,44
lbp-3D-m2_glcm_ClusterProminence,0.6354601602708786,True,0.29138441240065877,0.29138441240065877,45
gradient_glszm_GrayLevelNonUniformity,0.6259279315657811,True,0.7216437492258685,0.7216437492258685,46
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,0.6247469186130915,True,-0.3072745597699876,0.3072745597699876,47
original_glcm_MCC,0.6206974129702413,True,-0.49967145879986485,0.49967145879986485,48
lbp-3D-k_glszm_GrayLevelVariance,0.6175344322349526,True,0.08746427659319257,0.08746427659319257,49
lbp-3D-m2_firstorder_Maximum,0.5740198091034052,True,0.19224954961319954,0.19224954961319954,50
wavelet-LHL_firstorder_Median,0.569562513389544,True,-0.16612221742245387,0.16612221742245387,51
logarithm_glcm_ClusterShade,0.5677724250853378,True,-0.14733446228441857,0.14733446228441857,52
wavelet-LLH_glcm_MCC,0.5633240249835898,True,-0.6238264986681942,0.6238264986681942,53
log-sigma-3-0-mm-3D_firstorder_Median,0.5602723371712879,True,-0.09035803834143,0.09035803834143,54
lbp-3D-m2_glrlm_LongRunLowGrayLevelEmphasis,0.5571471373625297,True,0.3129334325389933,0.3129334325389933,55
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.5497459391206164,True,0.1898653218019419,0.1898653218019419,56
gradient_firstorder_10Percentile,0.5360076796489468,True,-0.429947873846492,0.429947873846492,57
lbp-3D-m1_glrlm_RunVariance,0.5226610387708153,True,0.07762325903968682,0.07762325903968682,58
wavelet-LLH_firstorder_Range,0.4785811937676875,True,0.12492114609271164,0.12492114609271164,59
log-sigma-4-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.4712728504293445,True,-0.27892229464017076,0.27892229464017076,60
log-sigma-5-0-mm-3D_firstorder_Mean,0.4484958815458865,True,0.07416977014234195,0.07416977014234195,61
wavelet-HHH_glcm_Imc2,0.4456207132682522,True,-0.4858007537125474,0.4858007537125474,62
