feature,ICC,n,k_conditions,feature_class,pass_0.75,pass_0.90
original_shape_Elongation,0.8136492344719043,629,3,shape,True,False
original_shape_Flatness,0.4588223557950204,629,3,shape,False,False
original_shape_LeastAxisLength,0.3054974104532341,629,3,shape,False,False
original_shape_MajorAxisLength,0.7511712910902691,629,3,shape,True,False
original_shape_Maximum2DDiameterColumn,0.7175467161338394,629,3,shape,False,False
original_shape_Sphericity,0.5091278991222791,629,3,shape,False,False
original_shape_SurfaceArea,0.5255159539490144,629,3,shape,False,False
original_firstorder_Kurtosis,0.47589695602293275,629,3,firstorder,False,False
original_firstorder_Maximum,0.48975984408448603,629,3,firstorder,False,False
original_firstorder_Minimum,0.9259245762901718,629,3,firstorder,True,True
original_firstorder_Skewness,0.4736980897578214,629,3,firstorder,False,False
original_firstorder_TotalEnergy,0.619715583827284,629,3,firstorder,False,False
original_glcm_Contrast,0.6023715498010374,629,3,glcm,False,False
original_glcm_DifferenceEntropy,0.5355943909270711,629,3,glcm,False,False
original_glcm_Idn,0.4287441467936164,629,3,glcm,False,False
original_glcm_Imc2,0.7609892298118982,629,3,glcm,True,False
original_glcm_MCC,0.5362342958891164,629,3,glcm,False,False
original_glcm_MaximumProbability,0.23087352058108793,629,3,glcm,False,False
original_gldm_LargeDependenceEmphasis,0.9075870321223718,629,3,gldm,True,True
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.8229747639579409,629,3,gldm,True,False
original_glrlm_LongRunLowGrayLevelEmphasis,0.6747676790083602,629,3,glrlm,False,False
original_glszm_LargeAreaEmphasis,0.8297203483943876,629,3,glszm,True,False
original_glszm_SizeZoneNonUniformity,0.30955016940727537,629,3,glszm,False,False
original_glszm_SizeZoneNonUniformityNormalized,0.76987492459479,629,3,glszm,True,False
original_glszm_SmallAreaLowGrayLevelEmphasis,0.5295486484082752,629,3,glszm,False,False
log-sigma-3-0-mm-3D_firstorder_90Percentile,0.9183372915390703,629,3,firstorder,True,True
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,0.815760219698136,629,3,firstorder,True,False
log-sigma-3-0-mm-3D_firstorder_Kurtosis,0.7952549410307354,629,3,firstorder,True,False
log-sigma-3-0-mm-3D_firstorder_Maximum,0.9508047852875039,629,3,firstorder,True,True
log-sigma-3-0-mm-3D_firstorder_Median,0.8240682925904329,629,3,firstorder,True,False
log-sigma-3-0-mm-3D_firstorder_Skewness,0.637513265389686,629,3,firstorder,False,False
log-sigma-3-0-mm-3D_glcm_ClusterProminence,0.9535377609232423,629,3,glcm,True,True
